Button A: X+75, Y+30
Button B: X+11, Y+61
Prize: X=10025, Y=7247

Button A: X+57, Y+29
Button B: X+23, Y+48
Prize: X=5957, Y=9914

Button A: X+38, Y+16
Button B: X+50, Y+99
Prize: X=5284, Y=9396

Button A: X+34, Y+17
Button B: X+15, Y+38
Prize: X=16255, Y=17811

Button A: X+47, Y+11
Button B: X+29, Y+63
Prize: X=6648, Y=3342

Button A: X+68, Y+37
Button B: X+25, Y+99
Prize: X=3930, Y=7433

Button A: X+92, Y+30
Button B: X+21, Y+97
Prize: X=3872, Y=9196

Button A: X+26, Y+82
Button B: X+59, Y+11
Prize: X=3307, Y=4683

Button A: X+62, Y+21
Button B: X+28, Y+67
Prize: X=13320, Y=17068

Button A: X+77, Y+47
Button B: X+11, Y+45
Prize: X=5391, Y=5509

Button A: X+16, Y+48
Button B: X+71, Y+29
Prize: X=5100, Y=17124

Button A: X+15, Y+56
Button B: X+79, Y+34
Prize: X=2175, Y=16304

Button A: X+45, Y+13
Button B: X+84, Y+93
Prize: X=10653, Y=9401

Button A: X+54, Y+30
Button B: X+32, Y+60
Prize: X=6564, Y=9020

Button A: X+42, Y+32
Button B: X+12, Y+30
Prize: X=3156, Y=2488

Button A: X+44, Y+16
Button B: X+23, Y+55
Prize: X=6028, Y=6296

Button A: X+68, Y+19
Button B: X+30, Y+80
Prize: X=17552, Y=1101

Button A: X+19, Y+77
Button B: X+51, Y+12
Prize: X=10654, Y=3135

Button A: X+99, Y+14
Button B: X+37, Y+88
Prize: X=3609, Y=3490

Button A: X+33, Y+13
Button B: X+18, Y+61
Prize: X=1742, Y=12692

Button A: X+81, Y+17
Button B: X+64, Y+60
Prize: X=3492, Y=1152

Button A: X+51, Y+16
Button B: X+19, Y+73
Prize: X=16809, Y=11712

Button A: X+74, Y+23
Button B: X+12, Y+48
Prize: X=12182, Y=10265

Button A: X+63, Y+15
Button B: X+28, Y+81
Prize: X=10903, Y=6794

Button A: X+14, Y+72
Button B: X+70, Y+16
Prize: X=11190, Y=10664

Button A: X+37, Y+11
Button B: X+27, Y+67
Prize: X=3354, Y=8452

Button A: X+33, Y+41
Button B: X+77, Y+17
Prize: X=5566, Y=2038

Button A: X+50, Y+12
Button B: X+17, Y+50
Prize: X=10907, Y=18238

Button A: X+55, Y+15
Button B: X+15, Y+70
Prize: X=7555, Y=15690

Button A: X+46, Y+24
Button B: X+33, Y+61
Prize: X=11745, Y=2657

Button A: X+58, Y+43
Button B: X+28, Y+99
Prize: X=4076, Y=6308

Button A: X+54, Y+99
Button B: X+74, Y+36
Prize: X=4050, Y=4734

Button A: X+34, Y+18
Button B: X+20, Y+55
Prize: X=10578, Y=15741

Button A: X+69, Y+18
Button B: X+52, Y+62
Prize: X=8509, Y=6482

Button A: X+13, Y+73
Button B: X+96, Y+56
Prize: X=3216, Y=5016

Button A: X+11, Y+27
Button B: X+77, Y+50
Prize: X=13190, Y=1791

Button A: X+35, Y+70
Button B: X+54, Y+15
Prize: X=2511, Y=2325

Button A: X+52, Y+21
Button B: X+34, Y+51
Prize: X=3456, Y=2961

Button A: X+16, Y+81
Button B: X+90, Y+79
Prize: X=1376, Y=3953

Button A: X+34, Y+13
Button B: X+36, Y+55
Prize: X=13586, Y=3897

Button A: X+27, Y+59
Button B: X+53, Y+25
Prize: X=5121, Y=1273

Button A: X+63, Y+15
Button B: X+30, Y+73
Prize: X=13970, Y=10239

Button A: X+86, Y+51
Button B: X+46, Y+97
Prize: X=1454, Y=2675

Button A: X+25, Y+93
Button B: X+59, Y+11
Prize: X=5324, Y=7088

Button A: X+43, Y+19
Button B: X+29, Y+47
Prize: X=19347, Y=5901

Button A: X+24, Y+68
Button B: X+52, Y+12
Prize: X=6632, Y=6552

Button A: X+39, Y+11
Button B: X+12, Y+72
Prize: X=18431, Y=819

Button A: X+14, Y+35
Button B: X+61, Y+43
Prize: X=3166, Y=1111

Button A: X+76, Y+48
Button B: X+29, Y+72
Prize: X=7155, Y=4680

Button A: X+24, Y+50
Button B: X+46, Y+19
Prize: X=16134, Y=3617

Button A: X+48, Y+72
Button B: X+66, Y+11
Prize: X=9204, Y=7294

Button A: X+66, Y+62
Button B: X+22, Y+77
Prize: X=3520, Y=7419

Button A: X+14, Y+47
Button B: X+68, Y+39
Prize: X=4250, Y=9875

Button A: X+67, Y+14
Button B: X+58, Y+59
Prize: X=6096, Y=1977

Button A: X+41, Y+21
Button B: X+19, Y+38
Prize: X=5924, Y=5047

Button A: X+20, Y+83
Button B: X+43, Y+35
Prize: X=4668, Y=8470

Button A: X+37, Y+95
Button B: X+72, Y+46
Prize: X=4106, Y=7904

Button A: X+34, Y+11
Button B: X+18, Y+40
Prize: X=13094, Y=14354

Button A: X+51, Y+85
Button B: X+70, Y+16
Prize: X=3158, Y=2042

Button A: X+96, Y+13
Button B: X+28, Y+22
Prize: X=4812, Y=1471

Button A: X+54, Y+22
Button B: X+47, Y+67
Prize: X=5636, Y=3636

Button A: X+26, Y+51
Button B: X+23, Y+13
Prize: X=18952, Y=12022

Button A: X+35, Y+55
Button B: X+46, Y+17
Prize: X=660, Y=10525

Button A: X+33, Y+67
Button B: X+48, Y+18
Prize: X=10958, Y=9870

Button A: X+11, Y+43
Button B: X+70, Y+32
Prize: X=11658, Y=1306

Button A: X+25, Y+11
Button B: X+27, Y+42
Prize: X=2311, Y=2312

Button A: X+74, Y+12
Button B: X+11, Y+39
Prize: X=4519, Y=6941

Button A: X+63, Y+13
Button B: X+15, Y+67
Prize: X=2054, Y=5500

Button A: X+64, Y+25
Button B: X+16, Y+65
Prize: X=7152, Y=12645

Button A: X+44, Y+78
Button B: X+51, Y+19
Prize: X=15398, Y=6504

Button A: X+17, Y+91
Button B: X+62, Y+41
Prize: X=5992, Y=9386

Button A: X+33, Y+13
Button B: X+11, Y+43
Prize: X=16490, Y=4206

Button A: X+83, Y+43
Button B: X+55, Y+97
Prize: X=9426, Y=6596

Button A: X+14, Y+43
Button B: X+20, Y+11
Prize: X=9268, Y=16426

Button A: X+76, Y+24
Button B: X+37, Y+98
Prize: X=2006, Y=4604

Button A: X+63, Y+78
Button B: X+49, Y+16
Prize: X=5712, Y=3588

Button A: X+59, Y+13
Button B: X+43, Y+43
Prize: X=7668, Y=4908

Button A: X+50, Y+15
Button B: X+31, Y+54
Prize: X=11845, Y=4550

Button A: X+18, Y+60
Button B: X+67, Y+31
Prize: X=1030, Y=5800

Button A: X+13, Y+67
Button B: X+52, Y+14
Prize: X=8310, Y=6360

Button A: X+22, Y+99
Button B: X+40, Y+27
Prize: X=5070, Y=8892

Button A: X+82, Y+48
Button B: X+14, Y+41
Prize: X=13302, Y=1468

Button A: X+59, Y+20
Button B: X+13, Y+28
Prize: X=11713, Y=11164

Button A: X+44, Y+17
Button B: X+21, Y+45
Prize: X=19051, Y=1345

Button A: X+29, Y+46
Button B: X+41, Y+12
Prize: X=2664, Y=16794

Button A: X+11, Y+88
Button B: X+85, Y+30
Prize: X=3809, Y=9672

Button A: X+15, Y+65
Button B: X+77, Y+29
Prize: X=2350, Y=4090

Button A: X+40, Y+23
Button B: X+18, Y+37
Prize: X=1748, Y=7833

Button A: X+77, Y+45
Button B: X+14, Y+37
Prize: X=16594, Y=7835

Button A: X+79, Y+19
Button B: X+34, Y+89
Prize: X=5520, Y=2055

Button A: X+17, Y+38
Button B: X+74, Y+51
Prize: X=10003, Y=8167

Button A: X+11, Y+38
Button B: X+48, Y+12
Prize: X=11879, Y=13058

Button A: X+92, Y+11
Button B: X+67, Y+53
Prize: X=8641, Y=1708

Button A: X+12, Y+40
Button B: X+61, Y+33
Prize: X=17814, Y=2806

Button A: X+81, Y+13
Button B: X+13, Y+60
Prize: X=6107, Y=13017

Button A: X+55, Y+26
Button B: X+19, Y+32
Prize: X=19498, Y=13758

Button A: X+86, Y+12
Button B: X+23, Y+43
Prize: X=4245, Y=1985

Button A: X+12, Y+46
Button B: X+75, Y+12
Prize: X=11804, Y=7922

Button A: X+15, Y+49
Button B: X+42, Y+24
Prize: X=16187, Y=13179

Button A: X+23, Y+53
Button B: X+56, Y+30
Prize: X=9137, Y=4149

Button A: X+60, Y+18
Button B: X+30, Y+71
Prize: X=13100, Y=3902

Button A: X+86, Y+46
Button B: X+11, Y+48
Prize: X=5083, Y=12988

Button A: X+32, Y+64
Button B: X+46, Y+15
Prize: X=8222, Y=3287

Button A: X+81, Y+33
Button B: X+54, Y+98
Prize: X=7614, Y=5838

Button A: X+48, Y+29
Button B: X+13, Y+39
Prize: X=9514, Y=972

Button A: X+19, Y+81
Button B: X+72, Y+51
Prize: X=4588, Y=6762

Button A: X+37, Y+16
Button B: X+17, Y+36
Prize: X=11124, Y=15692

Button A: X+24, Y+73
Button B: X+97, Y+40
Prize: X=6593, Y=3476

Button A: X+17, Y+28
Button B: X+56, Y+29
Prize: X=10318, Y=12337

Button A: X+44, Y+37
Button B: X+19, Y+53
Prize: X=891, Y=1971

Button A: X+35, Y+89
Button B: X+91, Y+57
Prize: X=2639, Y=4269

Button A: X+15, Y+72
Button B: X+58, Y+17
Prize: X=8803, Y=14919

Button A: X+36, Y+53
Button B: X+37, Y+13
Prize: X=6655, Y=3303

Button A: X+56, Y+34
Button B: X+22, Y+49
Prize: X=12614, Y=18039

Button A: X+89, Y+95
Button B: X+95, Y+22
Prize: X=2605, Y=2463

Button A: X+16, Y+73
Button B: X+75, Y+73
Prize: X=7660, Y=12337

Button A: X+85, Y+26
Button B: X+65, Y+89
Prize: X=10630, Y=9403

Button A: X+28, Y+86
Button B: X+20, Y+15
Prize: X=3620, Y=8890

Button A: X+56, Y+19
Button B: X+36, Y+74
Prize: X=13276, Y=12044

Button A: X+29, Y+55
Button B: X+40, Y+13
Prize: X=5024, Y=4185

Button A: X+30, Y+91
Button B: X+85, Y+26
Prize: X=5250, Y=8970

Button A: X+60, Y+45
Button B: X+32, Y+83
Prize: X=4276, Y=6334

Button A: X+60, Y+22
Button B: X+23, Y+54
Prize: X=7926, Y=3710

Button A: X+76, Y+12
Button B: X+12, Y+52
Prize: X=18788, Y=14052

Button A: X+29, Y+12
Button B: X+22, Y+52
Prize: X=5032, Y=4096

Button A: X+12, Y+41
Button B: X+30, Y+12
Prize: X=9494, Y=11342

Button A: X+14, Y+55
Button B: X+74, Y+16
Prize: X=14450, Y=15167

Button A: X+37, Y+65
Button B: X+56, Y+28
Prize: X=5073, Y=13165

Button A: X+56, Y+43
Button B: X+22, Y+88
Prize: X=1676, Y=1998

Button A: X+40, Y+70
Button B: X+51, Y+19
Prize: X=672, Y=4288

Button A: X+38, Y+57
Button B: X+31, Y+11
Prize: X=5526, Y=5094

Button A: X+74, Y+19
Button B: X+15, Y+51
Prize: X=6548, Y=3190

Button A: X+22, Y+46
Button B: X+31, Y+16
Prize: X=11879, Y=4424

Button A: X+90, Y+20
Button B: X+23, Y+36
Prize: X=5397, Y=2404

Button A: X+36, Y+79
Button B: X+95, Y+12
Prize: X=8090, Y=4000

Button A: X+57, Y+14
Button B: X+19, Y+61
Prize: X=1944, Y=14244

Button A: X+65, Y+14
Button B: X+31, Y+83
Prize: X=1937, Y=16611

Button A: X+16, Y+44
Button B: X+43, Y+28
Prize: X=4971, Y=6360

Button A: X+11, Y+72
Button B: X+86, Y+97
Prize: X=5217, Y=6659

Button A: X+24, Y+44
Button B: X+46, Y+19
Prize: X=10556, Y=14790

Button A: X+71, Y+85
Button B: X+44, Y+11
Prize: X=4081, Y=1760

Button A: X+11, Y+44
Button B: X+78, Y+46
Prize: X=14445, Y=18736

Button A: X+91, Y+48
Button B: X+30, Y+67
Prize: X=5574, Y=4066

Button A: X+23, Y+49
Button B: X+54, Y+25
Prize: X=9611, Y=6047

Button A: X+88, Y+33
Button B: X+50, Y+90
Prize: X=7884, Y=5664

Button A: X+15, Y+61
Button B: X+72, Y+16
Prize: X=6827, Y=10097

Button A: X+18, Y+16
Button B: X+21, Y+72
Prize: X=1989, Y=3528

Button A: X+66, Y+30
Button B: X+12, Y+26
Prize: X=10148, Y=7988

Button A: X+26, Y+67
Button B: X+65, Y+13
Prize: X=4475, Y=4436

Button A: X+78, Y+38
Button B: X+58, Y+90
Prize: X=6644, Y=6324

Button A: X+24, Y+12
Button B: X+24, Y+43
Prize: X=14288, Y=1017

Button A: X+11, Y+40
Button B: X+67, Y+21
Prize: X=14990, Y=2264

Button A: X+61, Y+14
Button B: X+11, Y+45
Prize: X=4429, Y=12066

Button A: X+84, Y+98
Button B: X+16, Y+88
Prize: X=9188, Y=16682

Button A: X+18, Y+57
Button B: X+76, Y+29
Prize: X=1140, Y=19360

Button A: X+11, Y+35
Button B: X+47, Y+13
Prize: X=6934, Y=19244

Button A: X+18, Y+37
Button B: X+88, Y+43
Prize: X=5412, Y=4506

Button A: X+37, Y+14
Button B: X+26, Y+69
Prize: X=18035, Y=18988

Button A: X+18, Y+77
Button B: X+94, Y+36
Prize: X=3680, Y=5125

Button A: X+66, Y+24
Button B: X+23, Y+54
Prize: X=4197, Y=3306

Button A: X+62, Y+26
Button B: X+27, Y+62
Prize: X=3449, Y=2916

Button A: X+85, Y+73
Button B: X+70, Y+12
Prize: X=5620, Y=2950

Button A: X+96, Y+59
Button B: X+29, Y+59
Prize: X=10447, Y=8850

Button A: X+23, Y+11
Button B: X+13, Y+27
Prize: X=16099, Y=2429

Button A: X+16, Y+74
Button B: X+30, Y+13
Prize: X=2742, Y=6017

Button A: X+19, Y+48
Button B: X+35, Y+17
Prize: X=5143, Y=19210

Button A: X+14, Y+65
Button B: X+43, Y+16
Prize: X=11184, Y=5109

Button A: X+66, Y+24
Button B: X+24, Y+68
Prize: X=12068, Y=12320

Button A: X+86, Y+11
Button B: X+13, Y+87
Prize: X=2909, Y=5086

Button A: X+28, Y+54
Button B: X+38, Y+21
Prize: X=15326, Y=4685

Button A: X+90, Y+41
Button B: X+19, Y+86
Prize: X=5873, Y=8631

Button A: X+26, Y+15
Button B: X+18, Y+50
Prize: X=16498, Y=15585

Button A: X+26, Y+62
Button B: X+46, Y+22
Prize: X=16464, Y=19188

Button A: X+80, Y+30
Button B: X+69, Y+96
Prize: X=4291, Y=4344

Button A: X+53, Y+15
Button B: X+16, Y+58
Prize: X=1465, Y=4425

Button A: X+11, Y+22
Button B: X+55, Y+18
Prize: X=15544, Y=6332

Button A: X+26, Y+74
Button B: X+72, Y+25
Prize: X=7572, Y=10088

Button A: X+11, Y+48
Button B: X+52, Y+26
Prize: X=12503, Y=1044

Button A: X+35, Y+57
Button B: X+88, Y+23
Prize: X=9481, Y=3770

Button A: X+22, Y+62
Button B: X+97, Y+63
Prize: X=7253, Y=9291

Button A: X+11, Y+53
Button B: X+44, Y+13
Prize: X=4565, Y=4483

Button A: X+36, Y+12
Button B: X+22, Y+58
Prize: X=18656, Y=8528

Button A: X+48, Y+90
Button B: X+71, Y+17
Prize: X=11094, Y=10350

Button A: X+95, Y+99
Button B: X+65, Y+14
Prize: X=13680, Y=10172

Button A: X+20, Y+99
Button B: X+65, Y+54
Prize: X=1790, Y=4041

Button A: X+76, Y+23
Button B: X+11, Y+38
Prize: X=1899, Y=14197

Button A: X+34, Y+72
Button B: X+72, Y+30
Prize: X=7384, Y=6084

Button A: X+74, Y+18
Button B: X+13, Y+74
Prize: X=3317, Y=16128

Button A: X+85, Y+47
Button B: X+11, Y+50
Prize: X=13636, Y=9893

Button A: X+13, Y+25
Button B: X+42, Y+18
Prize: X=604, Y=17884

Button A: X+94, Y+64
Button B: X+14, Y+86
Prize: X=3832, Y=8650

Button A: X+88, Y+19
Button B: X+29, Y+70
Prize: X=4698, Y=5731

Button A: X+59, Y+15
Button B: X+18, Y+59
Prize: X=7140, Y=10039

Button A: X+67, Y+12
Button B: X+15, Y+71
Prize: X=19205, Y=18916

Button A: X+33, Y+17
Button B: X+41, Y+94
Prize: X=2469, Y=3021

Button A: X+22, Y+70
Button B: X+62, Y+11
Prize: X=18330, Y=16422

Button A: X+68, Y+21
Button B: X+15, Y+64
Prize: X=19117, Y=8318

Button A: X+12, Y+75
Button B: X+85, Y+81
Prize: X=917, Y=3480

Button A: X+89, Y+14
Button B: X+66, Y+96
Prize: X=10202, Y=5372

Button A: X+25, Y+63
Button B: X+29, Y+11
Prize: X=6651, Y=9357

Button A: X+83, Y+48
Button B: X+17, Y+76
Prize: X=6142, Y=9044

Button A: X+49, Y+12
Button B: X+19, Y+78
Prize: X=1932, Y=8870

Button A: X+41, Y+13
Button B: X+40, Y+58
Prize: X=4784, Y=3964

Button A: X+63, Y+25
Button B: X+48, Y+99
Prize: X=6918, Y=9861

Button A: X+44, Y+18
Button B: X+28, Y+67
Prize: X=13260, Y=9568

Button A: X+45, Y+25
Button B: X+16, Y+51
Prize: X=4854, Y=6234

Button A: X+36, Y+54
Button B: X+86, Y+34
Prize: X=1672, Y=1178

Button A: X+37, Y+33
Button B: X+21, Y+75
Prize: X=3031, Y=5967

Button A: X+65, Y+22
Button B: X+70, Y+98
Prize: X=3585, Y=3294

Button A: X+57, Y+24
Button B: X+18, Y+58
Prize: X=10142, Y=7706

Button A: X+99, Y+17
Button B: X+25, Y+78
Prize: X=7511, Y=4754

Button A: X+56, Y+20
Button B: X+12, Y+29
Prize: X=8284, Y=2281

Button A: X+25, Y+12
Button B: X+17, Y+35
Prize: X=17070, Y=9295

Button A: X+16, Y+58
Button B: X+47, Y+18
Prize: X=4210, Y=1676

Button A: X+24, Y+53
Button B: X+88, Y+55
Prize: X=10184, Y=9671

Button A: X+14, Y+57
Button B: X+66, Y+47
Prize: X=5096, Y=6780

Button A: X+91, Y+18
Button B: X+32, Y+47
Prize: X=10866, Y=6013

Button A: X+44, Y+79
Button B: X+47, Y+24
Prize: X=4800, Y=7652

Button A: X+12, Y+33
Button B: X+29, Y+19
Prize: X=3304, Y=17190

Button A: X+97, Y+97
Button B: X+21, Y+91
Prize: X=4567, Y=4917

Button A: X+25, Y+80
Button B: X+96, Y+51
Prize: X=8194, Y=9824

Button A: X+77, Y+18
Button B: X+25, Y+38
Prize: X=4063, Y=1818

Button A: X+25, Y+89
Button B: X+82, Y+26
Prize: X=3630, Y=8934

Button A: X+13, Y+32
Button B: X+76, Y+55
Prize: X=1866, Y=17800

Button A: X+49, Y+14
Button B: X+32, Y+58
Prize: X=9528, Y=11206

Button A: X+23, Y+54
Button B: X+59, Y+32
Prize: X=5446, Y=5958

Button A: X+16, Y+97
Button B: X+82, Y+59
Prize: X=5482, Y=6509

Button A: X+76, Y+11
Button B: X+68, Y+91
Prize: X=704, Y=670

Button A: X+63, Y+37
Button B: X+18, Y+39
Prize: X=19241, Y=10872

Button A: X+17, Y+50
Button B: X+45, Y+11
Prize: X=13734, Y=16737

Button A: X+44, Y+20
Button B: X+29, Y+66
Prize: X=12504, Y=16028

Button A: X+26, Y+66
Button B: X+88, Y+42
Prize: X=9394, Y=8610

Button A: X+88, Y+34
Button B: X+45, Y+91
Prize: X=10505, Y=9727

Button A: X+19, Y+73
Button B: X+85, Y+83
Prize: X=5408, Y=8112

Button A: X+66, Y+20
Button B: X+24, Y+78
Prize: X=3510, Y=6934

Button A: X+95, Y+18
Button B: X+20, Y+57
Prize: X=4560, Y=1875

Button A: X+29, Y+28
Button B: X+16, Y+60
Prize: X=3939, Y=7100

Button A: X+43, Y+90
Button B: X+74, Y+45
Prize: X=2994, Y=2970

Button A: X+29, Y+76
Button B: X+59, Y+19
Prize: X=6326, Y=17315

Button A: X+12, Y+22
Button B: X+50, Y+13
Prize: X=10488, Y=18428

Button A: X+68, Y+12
Button B: X+22, Y+80
Prize: X=17244, Y=7404

Button A: X+71, Y+25
Button B: X+15, Y+69
Prize: X=1116, Y=3324

Button A: X+94, Y+88
Button B: X+21, Y+82
Prize: X=6023, Y=9566

Button A: X+12, Y+49
Button B: X+55, Y+28
Prize: X=9161, Y=4148

Button A: X+73, Y+34
Button B: X+27, Y+84
Prize: X=7610, Y=10544

Button A: X+89, Y+14
Button B: X+53, Y+84
Prize: X=10027, Y=7252

Button A: X+60, Y+17
Button B: X+29, Y+77
Prize: X=11588, Y=10010

Button A: X+70, Y+19
Button B: X+42, Y+47
Prize: X=5110, Y=4769

Button A: X+73, Y+12
Button B: X+18, Y+74
Prize: X=18979, Y=508

Button A: X+28, Y+89
Button B: X+55, Y+37
Prize: X=3557, Y=3726

Button A: X+20, Y+71
Button B: X+74, Y+15
Prize: X=240, Y=1764

Button A: X+11, Y+15
Button B: X+84, Y+19
Prize: X=4235, Y=1571

Button A: X+15, Y+82
Button B: X+91, Y+44
Prize: X=6849, Y=6152

Button A: X+25, Y+14
Button B: X+21, Y+81
Prize: X=2958, Y=8442

Button A: X+13, Y+56
Button B: X+81, Y+26
Prize: X=5732, Y=6608

Button A: X+84, Y+11
Button B: X+45, Y+77
Prize: X=1968, Y=1111

Button A: X+79, Y+17
Button B: X+40, Y+99
Prize: X=4393, Y=2482

Button A: X+16, Y+57
Button B: X+94, Y+74
Prize: X=9600, Y=11243

Button A: X+36, Y+28
Button B: X+86, Y+11
Prize: X=6190, Y=2523

Button A: X+96, Y+22
Button B: X+24, Y+89
Prize: X=9216, Y=4784

Button A: X+57, Y+23
Button B: X+19, Y+60
Prize: X=19120, Y=4428

Button A: X+17, Y+87
Button B: X+41, Y+46
Prize: X=1957, Y=2807

Button A: X+29, Y+19
Button B: X+33, Y+95
Prize: X=3414, Y=4218

Button A: X+51, Y+20
Button B: X+58, Y+85
Prize: X=8149, Y=7180

Button A: X+40, Y+14
Button B: X+19, Y+36
Prize: X=3540, Y=3000

Button A: X+56, Y+53
Button B: X+92, Y+17
Prize: X=9864, Y=3870

Button A: X+55, Y+89
Button B: X+50, Y+16
Prize: X=8175, Y=7257

Button A: X+56, Y+30
Button B: X+41, Y+90
Prize: X=3087, Y=5940

Button A: X+56, Y+14
Button B: X+17, Y+44
Prize: X=9023, Y=15770

Button A: X+47, Y+14
Button B: X+13, Y+37
Prize: X=13845, Y=3384

Button A: X+33, Y+12
Button B: X+20, Y+32
Prize: X=17882, Y=19448

Button A: X+39, Y+80
Button B: X+47, Y+14
Prize: X=2467, Y=4154

Button A: X+57, Y+38
Button B: X+20, Y+41
Prize: X=3381, Y=8345

Button A: X+51, Y+14
Button B: X+17, Y+79
Prize: X=5304, Y=8592

Button A: X+54, Y+24
Button B: X+24, Y+48
Prize: X=2462, Y=16568

Button A: X+11, Y+37
Button B: X+43, Y+39
Prize: X=561, Y=725

Button A: X+48, Y+23
Button B: X+19, Y+40
Prize: X=3232, Y=15593

Button A: X+86, Y+39
Button B: X+12, Y+55
Prize: X=2146, Y=17900

Button A: X+14, Y+43
Button B: X+23, Y+20
Prize: X=2192, Y=2276
